지역,소재부품장비코드,소재부품장비코드명,사업체수,종업원수,부가가치세금액_백만원,생산금액_백만원,출하금액_백만원,재고금액_백만원
세종,화학물질 및 화학제품,12000,24,1461,449474,766155,728719,89365
세종,고무 및 플라스틱제품,13000,17,878,117357,384594,377368,39678
세종,비금속 광물제품,14000,5,764,269996,582354,575659,20546
세종,1차 금속제품,15000,10,287,35254,186103,188854,10242
세종,부품,20000,64,5600,1320753,3410774,3401135,91662
세종,금속가공제품,21000,8,143,10222,26074,25423,1722
세종,일반기계부품,22000,10,250,39587,81383,81483,5871
세종,전기장비부품,24000,15,1021,174758,708218,704616,21252
세종,전자부품,25000,8,2584,802552,1709806,1700376,43280
세종,정밀기기부품,26000,4,533,97680,370913,371212,8403
세종,수송기계부품,27000,19,1069,195954,514380,518025,11134
세종,장비,30000,13,254,31940,85210,86646,4106
세종,산업공정장비,32000,9,156,19978,53232,53816,2170
충북,소재부품장비,00000,1288,90812,26521546,74580183,73155130,4582648
충북,소재,10000,573,23975,6488549,17427794,17280738,1022132
충북,섬유제품,11000,47,1510,227077,652837,650413,51338
충북,화학물질 및 화학제품,12000,198,9156,4085060,8973051,8924492,509300
충북,고무 및 플라스틱제품,13000,169,7686,1217792,3154282,3096478,234359
충북,비금속 광물제품,14000,74,2512,368494,1064237,1062311,46194
충북,1차 금속제품,15000,85,3111,590126,3583387,3547044,180941
충북,부품,20000,635,63880,19542543,55988119,54714648,3519705
충북,금속가공제품,21000,92,4530,786108,1815070,1807724,139529
충북,일반기계부품,22000,155,6280,868241,2494190,2473944,150297
충북,전기장비부품,24000,189,19893,4916451,23767568,23111058,1785736
충북,전자부품,25000,80,22557,10465230,17908149,17368264,1040413
충북,정밀기기부품,26000,23,1298,197941,517734,516434,30434
충북,수송기계부품,27000,96,9322,2308572,9485408,9437224,373296
충북,장비,30000,80,2957,490454,1164270,1159744,40811
충북,정밀가공장비,31000,5,94,8556,15958,16003,192
충북,산업공정장비,32000,37,1550,272095,638669,634810,30487
충북,반도체·디스플레이장비,33000,29,1137,185685,445359,444567,9833
충북,계측장비,35000,7,133,15275,38126,38206,299
충남,소재부품장비,00000,2114,152524,54494825,169962712,169790757,5556562
충남,소재,10000,618,44113,14067517,68329480,68604209,3093512
충남,섬유제품,11000,37,811,101115,238894,237157,19819
충남,화학물질 및 화학제품,12000,211,14126,6331702,34338775,34411638,1504378
충남,고무 및 플라스틱제품,13000,203,12045,2511795,6630337,6591316,310698
충남,비금속 광물제품,14000,44,4231,1338440,2263430,2256155,42957
충남,1차 금속제품,15000,123,12900,3784465,24858044,25107943,1215660
충남,부품,20000,1206,91784,36482242,90870298,90451466,2271094
충남,금속가공제품,21000,159,5559,750622,2641357,2641978,111978
충남,일반기계부품,22000,344,13728,1894229,5571935,5543663,197055
충남,전기장비부품,24000,199,16271,7131679,15405966,15456260,544420
충남,전자부품,25000,122,29034,21322600,47210818,46803065,748307
충남,정밀기기부품,26000,25,1420,265527,700010,696368,24020
충남,수송기계부품,27000,357,25772,5117585,19340212,19310132,645314
충남,장비,30000,290,16627,3945066,10762934,10735082,191956
충남,정밀가공장비,31000,14,296,67038,160946,162753,1699
충남,산업공정장비,32000,98,3524,618956,1879510,1878699,55533
충남,반도체·디스플레이장비,33000,151,11802,3126378,8323440,8294097,127651
충남,제조로봇 자동화장비,34000,17,765,101296,328150,327534,3984
충남,계측장비,35000,10,240,31398,70888,71999,3089
강원,소재부품장비,00000,209,9295,1658164,4660284,4550489,346434
강원,소재,10000,71,3222,768776,1571946,1482433,193976
강원,화학물질 및 화학제품,12000,27,1646,246165,413109,408451,39661
강원,고무 및 플라스틱제품,13000,14,478,54072,125238,125131,10192
강원,비금속 광물제품,14000,15,555,78289,180143,182745,6658
